gene_name
S100a8
S100a9
Lcn2
Igsf6
Ctla2a
Ly6c1
Rhoh
Lyz1
Tnfsf10
Slc11a1
Hif3a
Clec14a
Smagp
Vwf
Lrg1
Edn1
Sgk1
Smox
Mfsd2a
