sample_name	organism	breed	age	collection_date	geo_loc_name	sex	tissue	animal_id	treatment	timepoint_days
S.21D.O.M.118	Mus musculus	C57BL/6	6 months	2024-11-13	USA: Arizona	Male	brain	118	saline	21
E.2D.Y.F.74	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	74	ecoli	2
E.2D.Y.F.75	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	75	ecoli	2
E.2D.Y.F.76	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	76	ecoli	2
E.2D.Y.F.77	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	77	ecoli	2
E.2D.Y.F.79	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	79	ecoli	2
E.2D.Y.F.80	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	80	ecoli	2
E.2D.Y.F.81	Mus musculus	C57BL/6	3 months	2024-10-23	USA: Arizona	Female	brain	81	ecoli	2
E.2D.Y.M.26	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	26	ecoli	2
E.2D.Y.M.27	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	27	ecoli	2
E.2D.Y.M.28	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	28	ecoli	2
E.2D.Y.M.29	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	29	ecoli	2
E.2D.Y.M.31	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	31	ecoli	2
E.2D.Y.M.32	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	32	ecoli	2
E.2D.Y.M.33	Mus musculus	C57BL/6	3 months	2024-10-24	USA: Arizona	Male	brain	33	ecoli	2
E.2D.O.F.167	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	167	ecoli	2
E.2D.O.F.169	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	169	ecoli	2
E.2D.O.F.170	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	170	ecoli	2
E.2D.O.F.171	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	171	ecoli	2
E.2D.O.F.172	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	172	ecoli	2
E.2D.O.F.174	Mus musculus	C57BL/6	6 months	2024-10-23	USA: Arizona	Female	brain	174	ecoli	2
