C3
Ccl28
Ctss
Ctla2a
Mpeg1
Serpina3n
Fcgr3
Csf3r
Maff
Depp1
Mid1
Hnf1b
Hmgcs1
Hmgcs2
Ucp2
Rps11
Plin4
Lcn2
Col2a1
Vwf
Edn1
Gpx3
Slc38a5
Igf2bp2
Igfbpl1
Tcfl5
Top2a
Gtsf2
Aass
