Lcn2
S100a8
C3
Gbp2
Cd33
Tlr4
Naip5
Irf7
Hmgcs2
Hmgcs1
Plin4
Aqp1
Shank2
Syp
Calm3
Cplx1
Gphn
Slc8b1
Lars2
Cdk8
Rhobtb2
Il31ra
Kdm5d
Uty
Ddx3y
Eif2s3x
Kdm5c
Kdm6a
